region,region_id,Live,Dead,CFR,period
Bakool,R1720052,2265,225,9.9,Week 15
Banadir,R1720053,3945,85,2.2,Week 15
Bari,R1720054,289,9,3.1,Week 15
Bay,R1720055,9653,319,3.3,Week 15
Galgaduud,R1720056,303,5,1.7,Week 15
Gedo,R1720057,2730,77,2.8,Week 15
Hiraan,R1720058,299,6,2,Week 15
Juba Hoose,R1720059,611,12,2,Week 15
Mudug,R1720063,258,6,2.3,Week 15
Nugaal,R1720064,954,53,5.6,Week 15
Shabelle Dhexe,R1720062,1292,30,2.3,Week 15
Shabelle Hoose,R1720060,2658,54,2,Week 15
Ayn,R1720067,1115,37,3.3,Week 16
Bakool,R1720052,2440,237,9.7,Week 16
Banadir,R1720053,4121,89,2.2,Week 16
Bari,R1720054,326,13,4,Week 16
Bay,R1720055,10579,331,3.1,Week 16
Galgaduud,R1720056,524,6,1.1,Week 16
Gedo,R1720057,3078,78,2.5,Week 16
Hiraan,R1720058,305,6,2,Week 16
Juba Hoose,R1720059,683,13,1.9,Week 16
Mudug,R1720063,421,6,1.4,Week 16
Nugaal,R1720064,1043,53,5.1,Week 16
Shabelle Dhexe,R1720062,1363,31,2.3,Week 16
Shabelle Hoose,R1720060,2950,60,2,Week 16
Ayn,R1720067,2012,58,2.9,Week 17
Bakool,R1720052,2571,239,9.3,Week 17
Banadir,R1720053,4330,91,2.1,Week 17
Bari,R1720054,420,14,3.3,Week 17
Bay,R1720055,11091,335,3,Week 17
Galgaduud,R1720056,1220,15,1.2,Week 17
Gedo,R1720057,3313,80,2.4,Week 17
Hiraan,R1720058,309,6,1.9,Week 17
Juba Hoose,R1720059,788,13,1.6,Week 17
Mudug,R1720063,507,6,1.2,Week 17
Nugaal,R1720064,1144,54,4.7,Week 17
Shabelle Dhexe,R1720062,1477,31,2.1,Week 17
Shabelle Hoose,R1720060,3241,61,1.9,Week 17
Ayn,R1720067,2532,64,2.5,Week 18
Bakool,R1720052,2656,240,9,Week 18
Banadir,R1720053,4639,97,2.1,Week 18
Bari,R1720054,516,14,2.7,Week 18
Bay,R1720055,11571,336,2.9,Week 18
Galgaduud,R1720056,1522,15,1,Week 18
Gedo,R1720057,3541,80,2.3,Week 18
Hiraan,R1720058,310,6,1.9,Week 18
Juba Hoose,R1720059,977,15,1.5,Week 18
Mudug,R1720063,565,6,1.1,Week 18
Nugaal,R1720064,1221,54,4.4,Week 18
Sanaag,R1720065,39,2,5.1,Week 18
Shabelle Dhexe,R1720062,1561,32,2,Week 18
Shabelle Hoose,R1720060,3464,64,1.8,Week 18
Ayn,R1720067,2795,65,2.3,Week 19
Bakool,R1720052,2711,240,8.9,Week 19
Banadir,R1720053,4966,97,2,Week 19
Bari,R1720054,664,14,2.1,Week 19
Bay,R1720055,12099,337,2.8,Week 19
Galgaduud,R1720056,1694,15,0.9,Week 19
Gedo,R1720057,3815,80,2.1,Week 19
Hiraan,R1720058,313,6,1.9,Week 19
Juba Hoose,R1720059,1082,16,1.5,Week 19
Mudug,R1720063,621,6,1,Week 19
Nugaal,R1720064,1312,56,4.3,Week 19
Sanaag,R1720065,124,2,1.6,Week 19
Shabelle Dhexe,R1720062,1628,33,2,Week 19
Shabelle Hoose,R1720060,3762,68,1.8,Week 19
Ayn,R1720067,3053,67,2.2,Week 20
Bakool,R1720052,2815,242,8.6,Week 20
Banadir,R1720053,5271,104,2,Week 20
Bari,R1720054,766,15,2,Week 20
Bay,R1720055,12482,339,2.7,Week 20
Galgaduud,R1720056,1875,16,0.9,Week 20
Gedo,R1720057,4118,80,1.9,Week 20
Hiraan,R1720058,313,6,1.9,Week 20
Juba Hoose,R1720059,1216,16,1.3,Week 20
Mudug,R1720063,720,6,0.8,Week 20
Nugaal,R1720064,1418,56,3.9,Week 20
Sanaag,R1720065,231,5,2.2,Week 20
Shabelle Dhexe,R1720062,1628,33,2,Week 20
Shabelle Hoose,R1720060,3889,68,1.7,Week 20
Sool,R1720066,110,4,3.6,Week 20
Ayn,R1720067,3195,68,2.1,Week 21
Bakool,R1720052,2869,242,8.4,Week 21
Banadir,R1720053,5702,113,2,Week 21
Bari,R1720054,877,15,1.7,Week 21
Bay,R1720055,12729,340,2.7,Week 21
Galgaduud,R1720056,2153,18,0.8,Week 21
Gedo,R1720057,4439,81,1.8,Week 21
Hiraan,R1720058,321,6,1.9,Week 21
Juba Hoose,R1720059,1431,17,1.2,Week 21
Mudug,R1720063,840,6,0.7,Week 21
Nugaal,R1720064,1527,56,3.7,Week 21
Sanaag,R1720065,334,7,2.1,Week 21
Shabelle Dhexe,R1720062,1815,36,2,Week 21
Shabelle Hoose,R1720060,4152,70,1.7,Week 21
Sool,R1720066,200,5,2.5,Week 21
Ayn,R1720067,3393,69,2,Week 22
Bakool,R1720052,2934,244,8.3,Week 22
Banadir,R1720053,6278,123,2,Week 22
Bari,R1720054,1045,15,1.4,Week 22
Bay,R1720055,12895,340,2.6,Week 22
Galgaduud,R1720056,2766,21,0.8,Week 22
Gedo,R1720057,4673,81,1.7,Week 22
Hiraan,R1720058,329,6,1.8,Week 22
Juba Hoose,R1720059,1655,17,1,Week 22
Mudug,R1720063,1024,10,1,Week 22
Nugaal,R1720064,1689,56,3.3,Week 22
Sanaag,R1720065,483,10,2.1,Week 22
Shabelle Dhexe,R1720062,1888,37,2,Week 22
Shabelle Hoose,R1720060,4424,70,1.6,Week 22
Sool,R1720066,315,6,1.9,Week 22
