period,District,site,site_id,partner,latitude,longitude,admissions_SAM,relapses_SAM,readmissions_SAM,upgrades_SAM,downgrades_SAM,defaulters_SAM,successful_SAM,tot_discharges_SAM,perc_recovered_SAM,perc_nonresponding_SAM,perc_defaulters_SAM,admissions_MAM,relapses_MAM,readmissions_MAM,defaulters_MAM,successful_MAM,tot_discharges_MAM,perc_recovered_MAM,perc_nonresponding_MAM,perc_defaulters_MAM,malaria,pneumonia,cholera,IYCF
May,Bossasso,Yalho - Mobile TSFP,SNS544,CARE,11.233128,48.9742,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
May,Bossasso,Qaw - Mobile TSFP,SNS545,CARE,10.924473,49.2569,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Ragaad - Mobile OTP/TSFP,SNS546,CARE,10.722594,48.584866,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Taleex,taleex - Mobile OTP/TSFP,SNS547,CARE,9.14839,48.42077,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Mindhicir - Mobile OTP/TSFP,SNS55,CARE,11.171,49.1029,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Lasqoray - Mobile OTP/TSFP,SNS56,CARE,11.16027,48.19487,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Ceelayo  - Mobile OTP/TSFP,SNS57,CARE,11.14644,48.53607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Durduri - Mobile OTP/TSFP,SNS58,CARE,11.29662,48.58537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,dibqalax - Mobile OTP/TSFP,SNS580,CARE,10.34055556,47.63444444,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Ardaa - Mobile OTP/TSFP,SNS581,CARE,10.24361111,47.6975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,fiqifuliye  - Mobile OTP/TSFP,SNS582,CARE,10.18666667,47.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Masagan - Mobile OTP/TSFP,SNS583,CARE,10.4625,47.44083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Ceeldheer - Mobile OTP/TSFP,SNS584,CARE,10.43111111,47.65138889,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,boodacade - Mobile OTP/TSFP,SNS585,CARE,10.47138889,47.6659,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Biyo Gaduud - Mobile OTP/TSFP,SNS586,CARE,10.40277778,47.80277778,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Dhaabeeda - Mobile OTP/TSFP,SNS587,CARE,10.31944444,47.3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Libow - Mobile OTP/TSFP ,SNS588,CARE,9.090833333,49.21277778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Dhaxan Karin - Mobile OTP/TSFP ,SNS589,CARE,9.268888889,49.41833333,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Markad - Mobile OTP/TSFP,SNS59,CARE,11.2051,48.1912,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Gerihel. - Mobile OTP/TSFP ,SNS590,CARE,9.530555556,49.22972222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Armo. - Mobile OTP/TSFP ,SNS591,CARE,9.405833333,49.3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Dhaxan sarin - Mobile OTP/TSFP ,SNS593,CARE,9.450555556,48.5247,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Carmale  - Mobile OTP/TSFP,SNS594,CARE,10.48,47.95972222,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Laako - Mobile OTP/TSFP,SNS595,CARE,10.72555556,48.58805556,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Gumarta - Mobile OTP/TSFP,SNS596,CARE,10.70138889,48.48666667,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Damala xagare - Mobile OTP/TSFP,SNS597,CARE,11.295,49.20277778,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Shinbiraale - Mobile OTP/TSFP,SNS598,CARE,10.13111111,45.02222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Dawoco - Mobile OTP/TSFP,SNS599,CARE,10.34611111,47.16833333,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Taleex,caroolay - Mobile OTP/TSFP,SNS60,CARE,8.85607,48.14833,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Dhabar dalool - Mobile OTP/TSFP,SNS600,CARE,10.34611111,47.16833333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Daara salaam - Mobile OTP/TSFP,SNS601,CARE,10.24611111,47.40055556,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Xabaashaa wacle - Mobile OTP/TSFP,SNS602,CARE,11.01416667,48.32,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Moon - Mobile OTP/TSFP,SNS603,CARE,11.5975,48.53666667,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Lasqoray,Mashcaleed - Mobile OTP/TSFP,SNS604,CARE,11.00444444,48.30611111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Kismayo,Farjano(Soya/ Nageye camp) - Mobile OTP/TSFP ,SNS605,CARE,-0.340601,42.560065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Kismayo,Gulwadhe(adeymarogto camp) - Mobile OTP/TSFP ,SNS606,CARE,-0.343446,42.546746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Taleex,qawlo - Mobile OTP/TSFP,SNS61,CARE,8.5646,48.1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Taleex,dhumay - Mobile OTP/TSFP,SNS62,CARE,8.5722,48.3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Taleex,dhubuq dhubuq - Mobile OTP/TSFP,SNS620,CARE,8.261666667,47.76638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Lascaanod,caday buur - Mobile OTP/TSFP,SNS621,CARE,9.26722,47.376557,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
