Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  138,758 ","  175,000 ","  6,000 ","  275,000 ","  500,000 ","  440,310 ","  465,102 ",  -   ,  -   ,"  1,027,014 ","  1,109,860 ","1,000,000",111%
Unconditional Cash,"  21,804 ","  22,880 ","  175,000 ","  6,000 ",,,"  440,310 ","  465,102 ",,,"  637,114 ","  493,982 ",,78%
Conditional Cash,,,,,"  275,000 ","  500,000 ",,,,,"  275,000 ","  500,000 ",,182%
Cash for Work,"  114,900 ","  115,878 ",,,,,,,,,"  114,900 ","  115,878 ",,101%
Nutrition Services,  -   ,  -   ,"  550,000 ","  273,100 ","  219,750 ","  347,555 ",  -   ,  -   ,"  171,220 ","  94,949 ","  940,970 ","  715,604 ","600,000",119%
Community Based Outreach (Children),,,"  400,000 ","  8,000 ",,,,,,,"  400,000 ","  8,000 ",,2%
SAM,,,"  50,000 ","  15,000 ",,,,,"  143,706 ","  79,165 ","  193,706 ","  94,165 ",,49%
PLW,,,"  100,000 ","  250,100 ",,,,,"  27,514 ","  15,784 ","  127,514 ","  265,884 ",,209%
BSFP,,,,,"  73,000 ","  170,000 ",,,,,"  73,000 ","  170,000 ",,233%
TSFP,,,,,"  55,500 ","  55,000 ",,,,,"  55,500 ","  55,000 ",,99%
MCHN,,,,,"  91,250 ","  122,555 ",,,,,"  91,250 ","  122,555 ",,134%
Safe Drinking Water,"  500,000 ","  391,654 ","  720,000 ","  184,596 ",  -   ,  -   ,"  197,129 ","  202,987 ",  -   ,  -   ,"  1,417,129 ","  779,237 ","1,000,000",78%
Water Trucking,"  500,000 ","  391,654 ",,,,,"  197,129 ","  202,987 ",,,"  697,129 ","  594,641 ",,85%
Vouchers,,,"  60,000 ","  1,500 ",,,,,,,"  60,000 ","  1,500 ",,3%
Access,,,"  500,000 ","  180,546 ",,,,,,,"  500,000 ","  180,546 ",,36%
Bore Holes,,,"  160,000 ","  2,550 ",,,,,,,"  160,000 ","  2,550 ",,2%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ","  142,500 ",  -   ,  -   ,  -   ,  -   ,"  392,322 ","  3,400 ","  1,727,572 ","  145,900 ","1,700,000",9%
Community Based Outreach (Children),,,"  400,000 ","  25,000 ",,,,,,,"  400,000 ","  25,000 ",,6%
General,,,"  550,000 ","  14,000 ",,,,,"  392,322 ","  3,400 ","  942,322 ","  17,400 ",,2%
Children,,,"  24,250 ","  3,000 ",,,,,,,"  24,250 ","  3,000 ",,12%
AWD,,,"  160,000 ","  75,050 ",,,,,,,"  160,000 ","  75,050 ",,47%
Measles immunisation,,,"  200,000 ","  25,000 ",,,,,,,"  200,000 ","  25,000 ",,13%
Emergency Health Kits,,,"  1,000 ",  450 ,,,,,,,"  1,000 ",  450 ,,45%
