Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  136,704 ","  175,000 ",  -   ,"  275,000 ","  1,011,006 ","  440,310 ","  440,261 ",  -   ,  -   ,"  1,027,014 ","  1,587,971 ","1,000,000",159%
Unconditional Cash,"  21,804 ","  21,804 ","  175,000 ",  -   ,,,"  440,310 ","  440,261 ",,,"  637,114 ","  462,065 ",,73%
Conditional Cash,,,,,"  275,000 ","  1,011,006 ",,,,,"  275,000 ","  1,011,006 ",,368%
Cash for Work,"  114,900 ","  114,900 ",,,,,,,,,"  114,900 ","  114,900 ",,100%
Nutrition Services,  -   ,  -   ,"  550,000 ","  530,056 ","  219,750 ","  401,701 ",  -   ,  -   ,"  171,220 ","  76,895 ","  940,970 ","  1,008,652 ","600,000",168%
Community Based Outreach (Children),,,"  400,000 ",  376 ,,,,,,,"  400,000 ",  376 ,,0%
SAM,,,"  50,000 ","  171,270 ",,,,,"  143,706 ","  69,670 ","  193,706 ","  240,940 ",,124%
PLW,,,"  100,000 ","  358,410 ",,,,,"  27,514 ","  7,225 ","  127,514 ","  365,635 ",,287%
BSFP,,,,,"  73,000 ","  180,855 ",,,,,"  73,000 ","  180,855 ",,248%
TSFP,,,,,"  55,500 ","  70,957 ",,,,,"  55,500 ","  70,957 ",,128%
MCHN,,,,,"  91,250 ","  149,889 ",,,,,"  91,250 ","  149,889 ",,164%
Safe Drinking Water,"  500,000 ","  312,000 ","  720,000 ",  -   ,  -   ,  -   ,"  197,129 ","  203,857 ",  -   ,  -   ,"  1,417,129 ","  515,857 ","1,000,000",52%
Water Trucking,"  500,000 ","  312,000 ",,,,,"  197,129 ","  203,857 ",,,"  697,129 ","  515,857 ",,74%
Vouchers,,,"  60,000 ",,,,,,,,"  60,000 ",  -   ,,0%
Access,,,"  500,000 ",,,,,,,,"  500,000 ",  -   ,,0%
Bore Holes,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  392,322 ",  -   ,"  1,727,572 ",  -   ,"1,700,000",0%
Community Based Outreach (Children),,,"  400,000 ",,,,,,,,"  400,000 ",  -   ,,0%
General,,,"  550,000 ",,,,,,"  392,322 ",,"  942,322 ",  -   ,,0%
Children,,,"  24,250 ",,,,,,,,"  24,250 ",  -   ,,0%
AWD,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Measles immunisation,,,"  200,000 ",,,,,,,,"  200,000 ",  -   ,,0%
Emergency Health Kits,,,"  1,000 ",,,,,,,,"  1,000 ",  -   ,,0%
