Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  94,624 ","  175,000 ",  -   ,"  275,000 ","  510,525 ","  440,310 ","  110,589 ",  -   ,  -   ,"  1,027,014 ","  715,738 ","1,000,000",72%
Unconditional Cash,"  21,804 ","  12,754 ","  175,000 ",  -   ,,,"  440,310 ","  110,589 ",,,"  637,114 ","  123,343 ",,19%
Conditional Cash,,,,,"  275,000 ","  510,525 ",,,,,"  275,000 ","  510,525 ",,186%
Cash for Work,"  114,900 ","  81,870 ",,,,,,,,,"  114,900 ","  81,870 ",,71%
Nutrition Services,  -   ,  -   ,"  550,000 ","  261,526 ","  219,750 ","  229,792 ",  -   ,  -   ,"  171,220 ","  45,895 ","  940,970 ","  537,213 ","600,000",90%
Community Based Outreach (Children),,,"  400,000 ",  180 ,,,,,,,"  400,000 ",  180 ,,0%
SAM,,,"  50,000 ","  80,456 ",,,,,"  143,706 ","  42,670 ","  193,706 ","  123,126 ",,64%
PLW,,,"  100,000 ","  180,890 ",,,,,"  27,514 ","  3,225 ","  127,514 ","  184,115 ",,144%
BSFP,,,,,"  73,000 ","  99,560 ",,,,,"  73,000 ","  99,560 ",,136%
TSFP,,,,,"  55,500 ","  37,800 ",,,,,"  55,500 ","  37,800 ",,68%
MCHN,,,,,"  91,250 ","  92,432 ",,,,,"  91,250 ","  92,432 ",,101%
Safe Drinking Water,"  500,000 ","  122,000 ","  720,000 ",  -   ,  -   ,  -   ,"  197,129 ","  158,000 ",  -   ,  -   ,"  1,417,129 ","  280,000 ","1,000,000",28%
Water Trucking,"  500,000 ","  122,000 ",,,,,"  197,129 ","  158,000 ",,,"  697,129 ","  280,000 ",,40%
Vouchers,,,"  60,000 ",,,,,,,,"  60,000 ",  -   ,,0%
Access,,,"  500,000 ",,,,,,,,"  500,000 ",  -   ,,0%
Bore Holes,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  392,322 ",  -   ,"  1,727,572 ",  -   ,"1,700,000",0%
Community Based Outreach (Children),,,"  400,000 ",,,,,,,,"  400,000 ",  -   ,,0%
General,,,"  550,000 ",,,,,,"  392,322 ",,"  942,322 ",  -   ,,0%
Children,,,"  24,250 ",,,,,,,,"  24,250 ",  -   ,,0%
AWD,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Measles immunisation,,,"  200,000 ",,,,,,,,"  200,000 ",  -   ,,0%
Emergency Health Kits,,,"  1,000 ",,,,,,,,"  1,000 ",  -   ,,0%
