Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  130,624 ","  175,000 ",  -   ,"  275,000 ","  960,525 ","  440,310 ","  330,589 ",  -   ,  -   ,"  1,027,014 ","  1,421,738 ","1,000,000",142%
Unconditional Cash,"  21,804 ","  19,754 ","  175,000 ",  -   ,,,"  440,310 ","  330,589 ",,,"  637,114 ","  350,343 ",,55%
Conditional Cash,,,,,"  275,000 ","  960,525 ",,,,,"  275,000 ","  960,525 ",,349%
Cash for Work,"  114,900 ","  110,870 ",,,,,,,,,"  114,900 ","  110,870 ",,96%
Nutrition Services,  -   ,  -   ,"  550,000 ","  416,636 ","  219,750 ","  314,792 ",  -   ,  -   ,"  171,220 ","  64,895 ","  940,970 ","  796,323 ","600,000",133%
Community Based Outreach (Children),,,"  400,000 ",  290 ,,,,,,,"  400,000 ",  290 ,,0%
SAM,,,"  50,000 ","  140,456 ",,,,,"  143,706 ","  59,670 ","  193,706 ","  200,126 ",,103%
PLW,,,"  100,000 ","  275,890 ",,,,,"  27,514 ","  5,225 ","  127,514 ","  281,115 ",,220%
BSFP,,,,,"  73,000 ","  142,560 ",,,,,"  73,000 ","  142,560 ",,195%
TSFP,,,,,"  55,500 ","  49,800 ",,,,,"  55,500 ","  49,800 ",,90%
MCHN,,,,,"  91,250 ","  122,432 ",,,,,"  91,250 ","  122,432 ",,134%
Safe Drinking Water,"  500,000 ","  222,000 ","  720,000 ",  -   ,  -   ,  -   ,"  197,129 ","  180,000 ",  -   ,  -   ,"  1,417,129 ","  402,000 ","1,000,000",40%
Water Trucking,"  500,000 ","  222,000 ",,,,,"  197,129 ","  180,000 ",,,"  697,129 ","  402,000 ",,58%
Vouchers,,,"  60,000 ",,,,,,,,"  60,000 ",  -   ,,0%
Access,,,"  500,000 ",,,,,,,,"  500,000 ",  -   ,,0%
Bore Holes,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  392,322 ",  -   ,"  1,727,572 ",  -   ,"1,700,000",0%
Community Based Outreach (Children),,,"  400,000 ",,,,,,,,"  400,000 ",  -   ,,0%
General,,,"  550,000 ",,,,,,"  392,322 ",,"  942,322 ",  -   ,,0%
Children,,,"  24,250 ",,,,,,,,"  24,250 ",  -   ,,0%
AWD,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Measles immunisation,,,"  200,000 ",,,,,,,,"  200,000 ",  -   ,,0%
Emergency Health Kits,,,"  1,000 ",,,,,,,,"  1,000 ",  -   ,,0%
